S.No,Product_Code,Cust_ID,IPC_Code,gram/product,Product_Type,Spring_Type,Material_Code,Material_Type,Material_Name,Grade,Finishing,Wire_dia,Coiling/Forming,Stress_Relieving,Coating,Grinding,Plating,Blackening
81,DELFINGEN-F.L * Wire Dia * Outer Dia-765*0.70*2.85-0.70mm,C_019,F.L * Wire Dia * Outer Dia-765*0.70*2.85-0.70mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,Grinding,,
82,DELFINGEN-F.L * Wire Dia * Outer Dia-950*0.70*2.65-0.70mm,C_019,F.L * Wire Dia * Outer Dia-950*0.70*2.65-0.70mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.70mm,Coil,SS Stainless Steel,304,Soap Coated,0.70mm,Coiling,Stress_Relieving,,Grinding,,
83,DELFINGEN-F.L * Wire Dia * Outer Dia-1500*2*16-2.00mm,C_019,F.L * Wire Dia * Outer Dia-1500*2*16-2.00mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-2.00mm,Coil,SS Stainless Steel,304,Soap Coated,2.00mm,Coiling,Stress_Relieving,,Grinding,,
84,DELFINGEN-F.L * Wire Dia * Outer Dia-600*0.8*5.5-0.80mm,C_019,F.L * Wire Dia * Outer Dia-600*0.8*5.5-0.80mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.80mm,Coil,SS Stainless Steel,304,Soap Coated,0.80mm,Coiling,Stress_Relieving,,Grinding,,
85,DELFINGEN-F.L * Wire Dia * Outer Dia-475*0.8*5.5-0.80mm,C_019,F.L * Wire Dia * Outer Dia-475*0.8*5.5-0.80mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.80mm,Coil,SS Stainless Steel,304,Soap Coated,0.80mm,Coiling,Stress_Relieving,,Grinding,,
86,MEDIHUB-CDS SPRING-CDS SPRING 904-0.60mm,C_020,CDS SPRING-CDS SPRING 904-0.60mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.60mm,Coil,SS Stainless Steel,304,Soap Coated,0.60mm,Coiling,Stress_Relieving,,,,
87,MANDO-SPRING ASS'Y-GL95156200-1.50mm,C_014,SPRING ASS'Y-GL95156200-1.50mm,7.120,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.50mm,Coil,ST Spring Steel,DH,,1.50mm,Coiling,Stress_Relieving,,,,
88,SUPRAJIT-Spring-COM-SPR-00465-1.20mm,C_022,Spring-COM-SPR-00465-1.20mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-1.20mm,Coil,SS Stainless Steel,304,Soap Coated,1.20mm,Coiling,Stress_Relieving,,,,
89,CARRLANE-CLM-407-BUD-Type-1-0.90mm,C_021,CLM-407-BUD-Type-1-0.90mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-0.90mm,Coil,ST Spring Steel,DH,,0.90mm,Coiling,Stress_Relieving,,Grinding,,
90,CARRLANE-CLM-408-BUD-Type-2-0.90mm,C_021,CLM-408-BUD-Type-2-0.90mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-0.90mm,Coil,ST Spring Steel,DH,,0.90mm,Coiling,Stress_Relieving,,Grinding,,
91,Royal Referigeration-COMPRESSION SPRING-2.60mm* 104 mm-2.60mm,C_025,COMPRESSION SPRING-2.60mm* 104 mm-2.60mm,,Spring,COMPRESSION SPRING,Coil-ST Spring Steel-DH-2.60mm,Coil,ST Spring Steel,DH,,2.60mm,Coiling,Stress_Relieving,,,Zinc_White,
